epoch,loss
0,252.36689932377217
10,164.7196122507094
20,160.42071105442838
30,160.03883526979325
40,159.96477896902007
50,159.94516397918065
60,159.92272734258088
70,159.94148055505985
80,159.9199702499867
90,159.8916854398049
100,159.90058325146077
110,159.89933608380892
120,159.85991162023285
130,159.86212036401724
140,159.8423225955052
